,fname,dialogue
44,train_44,"#Person1#: 다음 주에 너의 생일 파티가 있네. 얼마나 흥분되는지! 생일 선물로 뭘 원해?
#Person2#: 음, 당신의 차처럼 좋은 차는 정말 멋질거에요.
#Person1#: 음...아직 차는 좀 이르지 않을까? 너 아직 9살이라는 걸 알고 있지? 인형은 어때?
#Person2#: 엄마, 저 남자에요. 남자애들은 바보 같은 인형으로 놀지 않아요, 그런데 기관총도 괜찮을 것 같아요.
#Person1#: 음, 이번에는 안 돼. 아마 너에게 예쁜 드레스와 작은 핸드백을 사줄 수 있을 것 같아, 아들. 아마도...
#Person2#: 아마도 나는 엄마가 딸을 너무 원하는 것 같으니 이름을 메리로 바꿔야 할 것 같지 않아요?"
46,train_46,"#Person1#: 유잉씨가 회의장에 4시에 도착해야 한다고 했죠?
#Person2#: 네, 그분이 특별히 늦지 않도록 요청했습니다. 우리 이스트 요크 지사에서 몇몇 사람들이 오는데, 그분들에게 좋은 인상을 남기고 싶어하시네요. 어떻게 가실 건가요?
#Person1#: 제 차를 타고 가려고 했는데, 고속도로에 공사가 있어서 지하철을 이용할 것 같아요. 당신은요?
#Person2#: 저도 지하철을 이용할 거예요. 같이 가는 건 어떨까요? 저는 회의장에 한 번 가봐서, 거기서 길을 잘 찾을 수 있을지 모르겠어요."
49,train_49,"#Person1#: 대학 시절에 리더로 활동하셨나요?
#Person2#: 네. 저는 우리 대학의 선전부 장관이었습니다.
#Person1#: 대학에서 어떤 영예나 상을 받으셨나요?
#Person2#: 아니요. 그것이 아쉽습니다.
#Person1#: 대학에서 어떤 동아리 활동에 참여하셨나요?
#Person2#: 네. 저는 농구 동아리의 회원이었습니다. 저는 농구 하는 것을 좋아합니다.
#Person1#: 대학에서 보통 어떤 방과 후 활동에 참여하셨나요?
#Person2#: 가끔 농구를 하거나 축구를 했습니다."
51,train_51,"#Person1#: 어떤 종류의 일을 하고 싶으신가요?
#Person2#: 저는 3년의 경력이 있기 때문에 관리직을 하고 싶습니다.
#Person1#: 만약 채용된다면 어떤 계획을 가지고 계신가요?
#Person2#: 저는 제 전문성과 경험을 활용하여 이 회사에서 점차 관리직으로 승진하고 싶습니다."
60,train_60,"#Person1#: 제니, 즐거운 시간 보내고 있나요?
#Person2#: 네, 물론이죠. 정말 멋진 파티에 흥미로운 사람들과 맛있는 음식이 있어요.
#Person1#: 즐거워하는 모습을 보니 기쁘네요.
#Person2#: 초대해주셔서 감사합니다.
#Person1#: 별말씀을요. 샴페인 한 잔 더 드릴까요?
#Person2#: 네, 한 잔 더 좋아요. 정말 훌륭한 주인이세요. 모든 것에 감사드립니다.
#Person1#: 당신을 여기 모시게 되어 기뻐요. "
65,train_65,"#Person1#: 여기서 나가자. 이 아파트는 너무 작아.
#Person2#: 나도 동의해. 신문에서 내가 찾아볼게.
#Person1#: 집이면 좋을 것 같아. 나는 정원을 가꾸고, 너는 차고를 작업실로 쓸 수 있을 거야.
#Person2#: 여기 흥미로운 광고가 있어.
#Person1#: 임대료는 얼마야?
#Person2#: 광고에는 325달러에 보증금이라고 써있어.
#Person1#: 그 장소는 언제 사용 가능해?
#Person2#: 지금 사용 가능하고, 위치도 아주 좋아. 일터에서 멀지 않을 거야."
67,train_67,"#Person1#: 봐, 짐. 저기 저 사람이 쓰러졌어.
#Person2#: 우리가 그가 괜찮은지 알아보는 게 좋겠어.
#Person1#: 신사분. . . 신사분? 괜찮으세요? 신사분?
#Person2#: 그는 대답하지 않아. 너는 그의 맥박과 호흡을 확인해봐.
#Person1#: 아, 이런. 그는 호흡을 하지 않고, 맥박도 없어. 911에 전화해.
#Person2#: 여보세요? 네. 커네티컷 애비뉴와 1번가에서 누군가가 의식을 잃었습니다. 그는 호흡을 하지 않고 맥박도 없습니다. 네. 제 친구가 심폐소생술을 하고 있습니다. 알겠습니다. 감사합니다. 그들이 구급차를 보내고 있어. 여기, 내가 도와줄게."
73,train_73,"#Person1#: 안녕하세요!
#Person2#: 안녕하세요, 루시. 존입니다. 부탁 하나 드려도 될까요? 아내에게 여섯 번이나 전화를 시도했는데 연결이 안 돼요. 계속 통화중이에요. 혹시 옆집에 가서 그녀에게 메시지를 전해주실 수 있을까요?
#Person1#: 그럼요! 메리에게 무슨 말을 전하고 싶으신가요?
#Person2#: 제가 오랜 친구를 만나서 그와 함께 있다고만 말해주시면 됩니다. 지금 사무실에 없고, 나중에 그녀에게 전화할게요.
#Person1#: 알겠습니다, 바로 가볼게요.
#Person2#: 정말 고마워요, 루시."
74,train_74,"#Person1#: 안녕하세요, 저는 잭입니다.
#Person2#: 안녕하세요. 이게 바로 그 집입니다. 보시다시피 모든 가구가 갖춰져 있습니다. TV도 있고...케이블 TV와 광대역 인터넷은 임대료에 포함되어 있습니다. 주방은 저쪽에...모두 완비되어 있습니다...새로운 냉장고와 요리기구, 주전자, 토스터, 전자레인지...모두 현대적인 편의 시설입니다. 화장실은 저쪽에...샤워 부스...싱크대...모두 B&Q에서 새로 구입한 것입니다. 창문에서 공원이 보이는 좋은 전망도 있습니다.
#Person1#: 음...생각했던 것보다 작네요. 임대료가 얼마였죠?
#Person2#: 주당 250파운드이고, 물론 가스, 물, 전기 등 모든 비용은 당신이 책임져야 합니다.
#Person1#: 광고에는 200이라고 써 있었는데요.
#Person2#: 네, 그건 위층의 작은 방을 위한 가격이었는데 그 방은 이미 다른 사람이 계약했습니다.
#Person1#: 음, 250은 제게는 좀 비싸네요.
#Person2#: 이곳은 런던입니다. 그리고 이곳은 당신만의 공간이죠...위치도 좋고, 지하철역 근처에 있습니다.
#Person1#: 제가 주당 200까지는 감당할 수 있는데...250에다가 다른 요금까지는 부담이 큽니다.
#Person2#: 알겠습니다. 한 달치 임대료와 보증금을 미리 내야 합니다. 총 400파운드입니다. 이게 계약서입니다...읽어보시고, 각 페이지에 이니셜을 쓰고, 마지막에 서명해 주세요...
#Person1#: 알겠습니다."
84,train_84,"#Person1#: 오늘의 특별 메뉴는 무엇인가요? 
#Person2#: '무제한' 저녁 특선입니다. 
#Person1#: 그건 별로 좋아하지 않아요. 
#Person2#: 해산물은 어떠신가요? 
#Person1#: 네, 해산물을 매우 좋아합니다. 
#Person2#: 어떤 해산물을 좋아하시나요?
#Person1#: 붉은색으로 조리된 해삼을 먹고 싶어요. 
#Person2#: 다른 것도 드시고 싶으신가요? 
#Person1#: 저에게 각종 차가운 요리를 가져다 주세요. 
#Person2#: 음료는 어떠신가요? 
#Person1#: 아니요, 괜찮아요. 
#Person2#: 무엇을 마시고 싶으신가요? 
#Person1#: 샴페인 한 병을 주세요."
89,train_89,"#Person1#: 안녕하세요, 스미스 씨? 릴리입니다. 어제 우리가 함께한 멋진 저녁 식사에 대해 감사드리려고 전화드렸어요. 정말 즐거웠습니다.
#Person2#: 천만에요. 언젠가 다시 저희와 함께 저녁 식사하시길 바랍니다. 
#Person1#: 감사합니다, 스미스 씨. 저는 오늘 중국으로 돌아갑니다. 
#Person2#: 오늘요? 
#Person1#: 네. 여기 머무는 동안 제 일에 투자해주신 모든 시간, 특히 도움을 주셔서 감사합니다. 
#Person2#: 천만에요. 도와드리게 되어 기쁩니다. 
#Person1#: 앞으로 제가 도와드릴 수 있는 일이 있다면 알려주세요. 
#Person2#: 그렇게 하겠습니다. 감사합니다. 안전한 여행 되세요."
90,train_90,"#Person1#: 다니엘, 야생동물 보호구역에 대해 들어본 적 있니? 
#Person2#: 그게 동물원과 다른 건가요? 
#Person1#: 네, 당연하죠. 
#Person2#: 그럼 그것에 대해 설명해 주세요! 
#Person1#: 그곳에는 많은 야생동물들이 있고, 방문 시 특별한 규칙도 있어요. 
#Person2#: 특별한 규칙이라고요? 
#Person1#: 네, 방문하는 방법은 두 가지뿐이에요. 
#Person2#: 자세히 말해줄래요? 
#Person1#: 그들의 버스를 이용하거나 자신의 차를 이용하는 것인데, 특별한 지역에 도착하기 전까지는 버스에서 내릴 수 없어요. 
#Person2#: 왜 그런 건가요? 
#Person1#: 차나 버스에서 내리는 것은 위험하거든요. 야생동물이 얼마나 사나울 수 있는지 상상해 보세요. 
#Person2#: 그럴 수 있겠네요. 하지만 흥미롭게 들립니다. 베이징에도 있나요? 
#Person1#: 네. 
#Person2#: 다음에는 그곳에 가보고 싶네요. 
#Person1#: 네, 그럼요, 실망하지 않을 거예요. "
92,train_92,"#Person1#: 썬샤인 호텔입니다. 좋은 아침입니다, 바바라입니다.
#Person2#: 안녕하세요. 예약을 하고 싶습니다. 출장 중이라 싱글룸이 필요합니다.
#Person1#: 알겠습니다, 성함이 어떻게 되십니까?
#Person2#: 존 그리핀입니다. J-O-H-N-G-R-I-F-F-I-N입니다.
#Person1#: 알겠습니다, 기록했습니다. 잠시만요. 이미 여기에 이름이 있습니다. 이전에 여기에 묵으셨던나요? 아니면 같은 이름을 가진 다른 분이겠군요.
#Person2#: 이전에 두 번 묵었습니다.
#Person1#: 알겠습니다. 카드를 확인해 보겠습니다. 제가 잘못 알고 있다면 말씀해 주세요. 시드니 출신의 존 그리핀, 여권 번호는 #PassportNumber#. 맞나요?
#Person2#: 맞습니다.
#Person1#: 알겠습니다. 그럼 오늘 밤 몇 시쯤 도착하실 예정이신가요, 그리핀 씨?
#Person2#: 비행기가 오후 9시 15분에 착륙하고, 누가 저를 데리러 오지 않습니다. 그러니 10시쯤에 도착할 것 같습니다. 그 시간에 레스토랑은 아직 영업하나요?
#Person1#: 그건 아닙니다. 객실에 간식을 준비해 드릴까요?
#Person2#: 네, 좋습니다. 치즈 샌드위치는 어떨까요?
#Person1#: 문제 없습니다, 그리핀 씨. 그렇게 준비하겠습니다."
105,train_105,"#Person1#: 어떤 춤을 좋아하나요?
#Person2#: 저는 빠른 음악에 맞춰 춤추는 것을 좋아해요.
#Person1#: 그럼 디스코에 관심이 있겠네요.
#Person2#: 네, 제가 가장 좋아하는 춤이에요. 
#Person1#: 오, 디스코네요. 춤춰요. 
#Person2#: 춤 잘 추시네요.
#Person1#: 감사해요. 지금 룸바 음악이 나오네요. 한 번 해보실래요?
#Person2#: 죄송한데, 다음 춤은 쉬려고 해요. 
#Person1#: 알겠어요. 뭔가 마실 것을 가져와요. 
#Person2#: 좋은 생각이에요."
109,train_109,"#Person1#: 실례합니다. 여기 누가 앉아 있나요?
#Person2#: 아니요, 아무도 없습니다.
#Person1#: 담배 피워도 괜찮을까요?
#Person2#: 솔직히 말하자면, 그게 싫습니다.
#Person1#: 오, 미안해요. 하지만 이곳은 금연이 아니죠, 맞나요? 제가 여기서 담배를 피워도 괜찮을까요?
#Person2#: 사실은 금연입니다. 아마 표시를 보지 못한 것 같네요.
#Person1#: 표시? 어떤 표시요?
#Person2#: 저기, 창문에 있습니다.
#Person1#: 오, 미안해요. 그걸 못 봤네요. 미안해요.
#Person2#: 괜찮습니다."
113,train_113,"#Person1#: 안녕하세요, 우씨님인가요?
#Person2#: 네. 무엇을 도와드릴까요?
#Person1#: 저는 귀하의 정보에 대해 문의하려고 전화했습니다.
#Person2#: 통화가 잘 안되네요. 다시 말씀해주실 수 있나요?
#Person1#: 제가 귀하의 정보에 대해 묻고 싶다고 말씀드렸습니다.
#Person2#: 죄송합니다, 연결이 너무 안 좋아요. 제가 아무것도 듣지 못하니 다시 전화드리겠습니다."
121,train_121,"#Person1#: 필립스 씨? 귀하의 승인이 필요한 구매 요청이 있습니다. 
#Person2#: 확인해보겠습니다. 이건 모뎀이 있는 486 컴퓨터를 위한 것이군요. 이건 누구를 위한 것인가요?
#Person1#: 윌슨 여사의 사무실로 가는 것으로 알고 있습니다.
#Person2#: 그녀를 전화로 연결해 주세요. 이것에 대해 명확히 해야 합니다."
126,train_126,"#Person1#: 안녕하세요. 제 이름은 칼입니다. 만나서 반갑습니다.
#Person2#: 저도 만나서 반갑습니다. 제 이름은 프란시스코입니다.
#Person1#: 뭐라고요?
#Person2#: 프란시스코인데, 페루에 있는 제 친구들과 가족들은 저를 판초라고 부릅니다.
#Person1#: 알겠습니다, 판초. 그럼 가족에 대해 얘기해줄 수 있을까요?
#Person2#: 그럼요, 저에게는 일곱 명의 형제와 여섯 명의 자매가 있습니다.
#Person1#: 와, 정말 대가족이네요. 그럼 판초는 가장 맏형인가요?
#Person2#: 아니요. 저는 가족 중에서 두 번째로 맏형입니다.
#Person1#: 그럼 부모님은 어떤 일을 하시나요?
#Person2#: 아버지는 페루 리마에서 택시 운전사로 일하시고 계십니다. 힘든 일이지만 가족을 부양하기 위해 열심히 일하십니다.
#Person1#: 어머니는요?
#Person2#: 어머니는 제 형제들과 자매들 중 몇몇이랑 함께 작은 가족 상점을 운영하고 계십니다.
#Person1#: 어떤 종류의 상점인가요?
#Person2#: 주로 식품을 팔고 있습니다. 빵, 계란, 탄산음료, 쌀, 설탕, 과자 같은 것들요. 사람들이 매일 사는 물건들이죠."
129,train_129,"#Person1#: 신고하고 싶은 일이 있습니다, 선생님. 제가 테이블에서 웨이터가 나타날 때까지 십 분을 기다렸고, 결국 서빙을 받았습니다. 그런데 제가 주문한 것이 아니더군요.
#Person2#: 정말 죄송합니다, 부인. 오늘은 평소보다 조금 더 바쁜 것 같습니다. 보상으로, 식사비는 무료로 하겠습니다."
134,train_134,"#Person1#: 안녕, 릴리, 다시 만나서 정말 반가워. 
#Person2#: 음, 나도 마찬가지야. 이번 겨울 휴가는 특히나 길었어. 넌 뭐하고 지냈어? 
#Person1#: 별 거 없어. 고등학교 동창들과 모임을 가졌고, 인터넷을 둘러보고, 오랫동안 읽고 싶었던 몇 권의 책을 읽었어. 너는 어땠어? 
#Person2#: 알다시피, 나는 여행을 좋아해. 이 긴 휴가를 잘 활용해서 즐겁게 보냈어. "
136,train_136,"#Person1#: 그게 진짜인가요? 
#Person2#: 그런 것 같아요. 이제 안나는 네 명의 아이가 있고 또 다른 아이가 곧 태어날 예정이에요. 
#Person1#: 와우. 그녀는 그렇게 많은 아이를 낳았음에도 불구하고 좋아 보여요. 그녀는 임신 중이면서도 프라다를 입고 있어요! 
#Person2#: 그게 바로 안나예요. 그녀는 항상 세련된 이탈리아 여성의 이미지를 유지하죠. 저기 그녀가 오고 있어요. 
#Person1#: 그녀는 빛이 나네요. 그것은 임신 때문일 거예요. 
#Person2#: 응, 아니면 비싼 이탈리아 페이셜 트리트먼트 때문일 수도 있어요."
137,train_137,"#Person1#: 헤이, 수영장이 이제 열렸어! 
#Person2#: 오늘부터야. 현충일은 학년이 끝나고 여름이 시작되는 날이야. 
#Person1#: 그럼 아이들이 야외로 나가는 시간이네. . . 
#Person2#: . . . 그리고 우리가 새 비키니로 태닝을 하는 시간이지. 
#Person1#: 이 대만 여자는 아니야. 우리는 태닝을 좋아하지 않아. 
#Person2#: 요즘 피부암에 대한 뉴스를 보면 그게 똑똑한 선택이야. 헤이, 모두 있어! 우리 도착했어!"
140,train_140,"#Person1#: 음, 그들 중 누가 타이핑을 더 잘하나요? 
#Person2#: 음, 메리가 존스보다 더 빠르게 타이핑합니다. 하지만 존스가 더 신중하게 타이핑하는 것 같아요. 
#Person1#: 그들의 속기에는 차이가 있나요? 
#Person2#: 존스는 확실히 편지를 더 빠르게 적을 수 있지만, 메리의 속기는 그녀의 반에서 최고입니다. 
#Person1#: 언어는 어떤가요? 
#Person2#: 둘 다 프랑스어를 뛰어나게 잘합니다. 하지만 메리가 존스보다 독일어를 더 유창하게 말하는 것 같아요. 
#Person1#: 음. 그건 별로 중요하지 않아요. 왜냐하면 우리는 독일인 방문객보다 프랑스인 방문객이 더 많거든요."
146,train_146,"#Person1#: 안녕하세요. 저는 물류 운송을 통해 상하이에 있는 제 여동생에게 컴퓨터를 보내고 싶습니다.
#Person2#: 알겠습니다. 상자에 넣어져 있나요? 볼 수 있을까요?
#Person1#: 네. 이게 컴퓨터고, 이건 키보드와 모니터입니다.
#Person2#: 다른 것은 없나요?
#Person1#: 마우스와 카메라도 있습니다.
#Person2#: 그게 다인가요?
#Person1#: 네. 이런 물건들을 상하이로 일반 배송으로 보내는 데 얼마나 드나요?
#Person2#: 그것은 물건들의 무게에 따라 다릅니다. 일반적으로, 우리는 1킬로그램당 10 위안을 청구합니다.
#Person1#: 알겠습니다. 무게를 잴 수 있나요?
#Person2#: 저쪽에서 무게를 재십시오.
#Person1#: 알겠습니다. 나중에 뵙겠습니다."
147,train_147,"#Person1#: 무슨 문제 있어요?
#Person2#: 목이 아프고 머리도 아파요.
#Person1#: 피곤하다고 느끼나요?
#Person2#: 네, 몸 전체가 약해요. 그리고 정말 기분이 안 좋아요.
#Person1#: 그런 이야기를 듣게 되어 유감이네요. 저는 당신을 진찰해야 할 것 같아요.
#Person2#: 알겠어요, 시작하세요.
#Person1#: 입을 열고 혀를 보여주세요. 아...하고 말해보세요. 감기가 심하네요. 그러니까 일주일 동안 침대에 누워있어야만 해요."
148,train_148,"#Person1#: 데이브, 너와 얘기하고 싶은 게 있어.
#Person2#: 지나, 왜 속삭이는 거야?
#Person1#: 웹트래커랑 얘기를 나눴어. 회사를 옮길 생각이야.
#Person2#: 뭐? 진심이야? 우리의 경쟁사로 넘어가려고? ?
#Person1#: 목소리를 낮춰. 나중에 더 얘기하자. 지금은 빈스를 만나야 해.
#Person2#: 우리 반드시 얘기해야겠어, 지나. 그리고 조심해. 엘빈이 아직도 그의 코 때문에 화가 나 있어.
#Person1#: 알았어, 하지만 내가 한 말 아무에게도 말하지 마."
149,train_149,"#Person1#: 안으로 들어가 앉아보시고 어떤지 알려주세요. 그럼 포르쉐를 가져가시겠어요, 선생님?
#Person2#: 네, 그리고 보험도 사고 싶어요. 필요하다고 생각해요.
#Person1#: 보험을 사는 것은 현명해요. 3일 동안 45달러니까 좋은 거래입니다.
#Person2#: 차를 샌프란시스코에서 반납할 수 있나요?
#Person1#: 샌프란시스코요? 아니요, 선생님. 우리는 여기에만 사무실이 있습니다. 차는 여기로 반납해야 합니다.
#Person2#: 정말요? 미국에서는 다른 도시에서 렌트카를 반납할 수 있다고 들었어요.
#Person1#: 아니요, 선생님. 그건 아주 큰 회사들만 가능해요. 죄송하지만 이 차는 이 주차장으로 반납해야 합니다.
#Person2#: 그럼, 다시 내려가야겠네요. 흠. 저는 그럴 줄 몰랐어요.
#Person1#: 그래도 차를 원하시나요, 선생님?
#Person2#: 네. 재미있을 거예요. 해안가를 따라 다시 내려가는 거. 제 여자친구가 좋아해요.
#Person1#: 아름다운 드라이브가 될 거예요.
#Person2#: 열쇠는 어디에 있나요?
#Person1#: 잠시만 기다리세요, 선생님. 우리는 서류 작성을 완료해야 합니다."
150,train_150,"#Person1#: 와! 정말 아름다운 경치네요! 너무나 개방적이고요. 신선한 공기를 한 번 들이마셔 보세요, 그 신선함을 거의 맛볼 수 있을 정도입니다.
#Person2#: 산 정상에서는 구이린시의 전망을 한눈에 볼 수 있어요. 
#Person1#: 멋져요! 자주 여기에 등산하러 와야 겠어요.
#Person2#: 그러세요. 많은 구이린시 사람들, 특히 노년과 청년들이 아침에 이 산을 오릅니다.
#Person1#: 사람들이 그렇게 말하는 것은 당연해요. 
#Person2#: 빨리! 망원경을 넘겨주세요. 저 새를 보세요... 전에 본 적 없는 종류입니다. 구이린시에 토착된 종이고, 멸종 위기 종이기도 해요. 운이 좋네요!
#Person1#: 새 관찰을 좋아하는 줄 몰랐어요.
#Person2#: 사실 그렇게 좋아하는 건 아니에요. 그냥 야생동물을 좋아하고, 도시에서는 그런 것들을 볼 기회가 많지 않아요. 이곳은 그런 것들로 가득해요."
151,train_151,"#Person1#: 그럼, 바닷가 여행은 어떻게 즐거우셨나요?
#Person2#: 재미있었어요.
#Person1#: 얘기해 줄래요?
#Person2#: 그럼요, 우리는 아침에 가는 길에 계곡을 지나갔어요. 정말 멋진 풍경이었어요.
#Person1#: 큰 폭포에서 사진 찍으러 멈춰 보셨나요?
#Person2#: 그럼요, 그건 절대 놓칠 수 없죠. 그 후에, 우리는 공원으로 가는 지름길로 갔어요. 차도 거의 없어서 한 시간도 안 되어서 도착했어요.
#Person1#: 그럼 운이 좋았네요. 그 후에 뭘 했나요?
#Person2#: 바다에서 수영을 했어요. 그게 하루 중에서 가장 좋았어요. 제 멋진 피부색을 보세요.
#Person1#: 그러니까 어제는 바쁘고 즐거운 하루였겠네요.
#Person2#: 네, 맞아요. 그리고 너무 피곤해서 돌아오는 길에 잠이 들었어요. 어제 수영하느라 팔이 아직도 뻣뻣해요."
152,train_152,"#Person1#: 존, 여기서 흡연하지 말라고 했잖아요! 제 사무실에서 당신이 담배를 피우는 걸 다시는 보고 싶지 않아요.
#Person2#: 죄송합니다, 페어뱅크스 씨. 다시는 그런 일 없도록 하겠습니다.
#Person1#: 그게 바로 당신이 마지막에도 말했던 말이잖아요! 담배를 피우고 싶다면, 휴식 시간을 이용하거나 밖으로 나가세요!
#Person2#: 이해했습니다, 페어뱅크스 씨."
153,train_153,"#Person1#: 계산서 좀 주시겠어요?
#Person2#: 네, 손님. 어떻게 계산하시겠어요?
#Person1#: 신용카드 받으세요?
#Person2#: 네, 손님. 하지만 우리는 오직 아메리칸 익스프레스, 마스터 카드, 비자 카드만 받습니다. 어떤 종류를 가지고 계신가요?
#Person1#: 마스터 카드입니다. 여기 있습니다.
#Person2#: 잠시만 기다려 주세요."
